Iterations,Time
1,143152625
2,55461708
3,64688791
4,66024250
5,77953125
6,104151417
7,103925708
8,110444916
9,111152958
10,122892167
11,128720417
12,138367000
13,151128875
14,160173292
15,170168083
16,178634417
17,192443958
18,193296000
19,208686375
20,207502209
21,221512250
22,228186583
23,241825625
24,250917000
25,265337917
26,268001083
27,278768959
28,292146459
29,305132958
30,320742417
31,322396166
32,336812541
33,341148709
34,358463958
35,362002792
36,371290500
37,385149042
38,550500000
39,412987666
40,414687041
41,438213042
42,786562708
43,455438333
44,461458917
45,474053042
46,501020708
47,488247917
48,494527208
49,660888584
50,516130334
51,545049083
52,537894000
53,549725875
54,555904625
55,571226042
56,576445250
57,591696667
58,595911250
59,610803667
60,622932291
61,630475750
62,642319666
63,652363416
64,658582666
65,672646708
66,678691709
67,695788500
68,857013542
69,1018645750
70,839924750
71,742443708
72,745393542
73,761543541
74,761124625
75,776607250
76,794760791
77,890350875
78,819576750
79,817430417
80,824077917
81,847169333
82,848584083
83,859596084
84,873358042
85,881023833
86,890608959
87,897222541
88,913371291
89,933454750
90,940209333
91,959861292
92,950899000
93,961859667
94,1091374417
95,988390625
96,990418708
97,1011200458
98,1014253333
99,1025960542
100,1032003375
