Iterations,Time
1,163379167
2,70764083
3,82141125
4,92192667
5,102409584
6,114589958
7,130371334
8,131979084
9,139082166
10,147267792
11,163741375
12,165965750
13,186957167
14,192622709
15,201828250
16,213510792
17,222777333
18,231611167
19,241222959
20,250787291
21,262225667
22,274488000
23,287377875
24,299658584
25,311243125
26,324241375
27,336467583
28,348945458
29,361577417
30,373887792
31,386161875
32,399199584
33,411141292
34,424231916
35,435674333
36,480724125
37,462892875
38,475421833
39,486454958
40,496672417
41,510710125
42,538887542
43,536024917
44,555214791
45,587511667
46,575961625
47,594084125
48,597936250
49,608722917
50,621084458
51,633494542
52,645480666
53,661082375
54,670766000
55,682804417
56,695824792
57,858068125
58,733343042
59,945560333
60,799677667
61,760051375
62,769648917
63,879776333
64,1219393667
65,906649542
66,860643292
67,880326209
68,843585542
69,857055542
70,872362875
71,896507333
72,894027333
73,906079209
74,919335625
75,930939500
76,944088375
77,958116042
78,969692208
79,983480791
80,993592958
81,1004571250
82,1020058791
83,1029460875
84,1042742375
85,1057486083
86,1067708875
87,1079576292
88,1091358375
89,1104454959
90,1115337208
91,1139254458
92,1313544417
93,1223081792
94,1190124917
95,1198775375
96,1192733500
97,1450591166
98,1225264709
99,1301273875
100,1329552500
